en,ig
The news that will interest you:,Akụkọ ndị ga-amasị gị:
"Joseph Achuzie, the Biafran brave man is gone.","Joseph Achuzie, Dike Biafra alala"
Dapchi: Government has not defeated Boko Haram and Massob,Dapchi: Gọọmenti emeribeghị Boko Haram - Massob
Tottenham look forward to lifting the FA cup in defeating Rochadale.,Tottenham na-ele anya iburu iko FA na mmeri Rochadale
"Son Heung-min, Fernando Llorente and Kyle Walter-Peters of Tottenham beat Rochadale mercilessly in their yesterday's FA cup competition.","Son Heung-min, Fernando Llorente na Kyle Walter-Peters nke Tottenham bụ ndị mmechiri ọnụ Rochadale n'asọmpị ụnyaahụ."
Son Heung-min of Tottenham and his team mates were jubilating when he scored a goal in the FA cup competition.,Son Heung-min onye Tottenham na ndị otu ya na-nwe anụrị mgbe o nyere goolu n'asọmpị iko FA.
Tottenham has won eight FA cup competitions.,Tottenham emerila n'asọmpị iko FA ugboro asatọ
The Tottenham team has beaten the Rochadale team 6-1in their FA cup competition.,"N'egwuregwu, ndị otu Tottenham gbara ndị Rochadale ọkpụ goolu isii asatara otu n'asọmpi FA."
This victory means that Tottenham is to compete with Swansea in the FA cup quarter final on the 17th of March.,Mmeri a pụtara na Tottenham na otu Swansea ga-asọ mpi Quarter Final n'iko FA a ga-agba n'ụbọchị 17 nke ọnwa Maachị.
"Son Heung-min scored the first and the fifth goal. Fernando Llorente scored hatrick within twelve minutes of the second half, while Kyle Walter-Peters scored the sixth goal.","Son Heung-min nyere goolu nke mbụ na nke ise. Fernando Llorente nyere goolu atọ n'ime nkeji iri na abụọ n'okara nke abụọ, ebe Kyle Walter-Peters nyere goolu nke isi."
If Son Heung-min stops playing with Rochadale,Son Heung-min kwụsị bọọlụ otu Rochadale
What will happen in the future?,Gịnị ga-eme n'ihu?
Tottenham will play at the Wembley stadium on the 3rd of March. They will play Huddersfield in the Premier League before meeting Juventus in Champions League on the 7th day of March.,"Tottenham ga-aga ọgbọ egwuregwu Wembley n'ụbọchị atọ nke ọnwa Maachị. Ha na Huddersfield ga-asọ mpi n'iko Premier League, tupu ha na Juventus ga-asọmpị nke ha n'iko Champions League n'ụbọchị asaa n'ọnwa Maachị."
Rochadale have sixteen outstanding matches to save themselves from relegation in the league.,Otu egwuregwu Rochdale nwere asọmpị 16 ịzọpụta onwe ha tụpụ ha baa relegation na league otu.
Their first match will be between them and Plymouth on the 3rd day of March.,Asompị ha nke mbụ ga-abụ ha na Plymouth n'ụbọchị atọ n'ọnwa Maachị.
The news that will interest you:,Akụkọ ndị ga-amasị gị:
Guardiola has lifted his first cup in England,Guardiola ebuliela iko ya nke mbụ n'England
Champions League: Neymar has a broken leg.,Champions League: Neymar arọjiela ụkwụ
The head of police force (The Inspector General of Police): open/establish cattle ranch before you ban grazing.,Onyeisi ndị uweojii: Mepe ọdọ ehi tupu ị machie ịchịgharị ha
The Inspector General of Police has told Governors to first establish cattle ranches before they ban grazing of cattles in their states.,Onyeisi ndị uweojii agwala ndị Gọvanọ ka bụrụ ụzọ mepe ebe a na-azụ ehi tupu ha machie ịchịgharị ehi n'steeti ha.
Ibrahim Idris,Ibrahim Idris
